0 [900.0, 2e-09]
100 [9.00e+02, 2.39e-05]
200 [9.00e+02, -1.22e-07]
300 [9.00e+02, 3.19e-09]
400 [9.00e+02, 3.35e-09]
500 [9.00e+02, 3.35e-09]
600 [9.00e+02, 3.35e-09]
700 [9.00e+02, 3.35e-09]
800 [9.00e+02, 3.35e-09]
900 [9.00e+02, 3.35e-09]
1000 [9.00e+02, 3.35e-09]
1100 [9.00e+02, 3.35e-09]
1200 [9.00e+02, 3.35e-09]
1300 [9.00e+02, 3.35e-09]
1400 [9.00e+02, 3.35e-09]
1500 [9.00e+02, 3.35e-09]
1600 [9.00e+02, 3.35e-09]
1700 [9.00e+02, 3.35e-09]
1800 [9.00e+02, 3.35e-09]
1900 [9.00e+02, 3.35e-09]
2000 [9.00e+02, 3.35e-09]
2100 [9.00e+02, 3.35e-09]
2200 [9.00e+02, 3.35e-09]
2300 [9.00e+02, 3.35e-09]
2400 [9.00e+02, 3.34e-09]
2500 [9.00e+02, 3.34e-09]
2600 [9.00e+02, 3.34e-09]
2700 [9.00e+02, 3.34e-09]
2800 [9.00e+02, 3.34e-09]
2900 [9.00e+02, 3.34e-09]
3000 [9.00e+02, 3.34e-09]
3100 [9.00e+02, 3.34e-09]
3200 [9.00e+02, 3.34e-09]
3300 [9.00e+02, 3.34e-09]
3400 [8.99e+02, 3.34e-09]
3500 [8.99e+02, 3.33e-09]
3600 [8.99e+02, 3.33e-09]
3700 [8.99e+02, 3.33e-09]
3800 [8.99e+02, 3.33e-09]
3900 [8.99e+02, 3.33e-09]
4000 [8.99e+02, 3.33e-09]
4100 [8.99e+02, 3.33e-09]
4200 [8.99e+02, 3.33e-09]
4300 [8.99e+02, 3.32e-09]
4400 [8.99e+02, 3.32e-09]
4500 [8.99e+02, 3.32e-09]
4600 [8.99e+02, 3.32e-09]
4700 [8.99e+02, 3.32e-09]
4800 [8.99e+02, 3.31e-09]
4900 [8.99e+02, 3.31e-09]
5000 [8.99e+02, 3.31e-09]
5100 [8.99e+02, 3.31e-09]
5200 [8.99e+02, 3.31e-09]
5300 [8.99e+02, 3.30e-09]
5400 [8.99e+02, 3.30e-09]
5500 [8.99e+02, 3.30e-09]
5600 [8.99e+02, 3.30e-09]
5700 [8.99e+02, 3.30e-09]
5800 [8.99e+02, 3.29e-09]
5900 [8.99e+02, 3.29e-09]
6000 [8.99e+02, 3.29e-09]
6100 [8.99e+02, 3.29e-09]
6200 [8.98e+02, 3.28e-09]
